ʻaʻala	sweet-smelling, fragrant
piholo	to sink, drown
pili	close proximity or close relationship
pilikia	trouble, problem
pipiʻi	expensive
pō	darkness, night, ignorance
pōʻahā	Thursday
pōʻakahi	Monday
pōʻakolu	Wednesday
pōʻalima	Friday
pōʻalua	Tuesday
poʻaono	Saturday
poʻi	to break (waves)
pōʻino	storm
pōkole	short
pololei	correct, right, straight
pōloli	hungry
poni	purple
pono	proper
poʻo	head
poʻokela	champion
pōpoki	cat
pua	flower
puana	refrain (song)
puke	book
pule	week, prayer
puni	encircle, go around
pūpū	shell
pupuka	ugly
puʻuwai	heart
ua	rain
uake	watch, clock
uē	to cry
ʻuhane	spirit, soul
uʻi	beautiful
uila	lightning, electricty
ulana	to weave
ʻulaʻula	red
uliuii	dark blue
ulu kukui	kukui grove
wā	time period, era
waʻa	canoe
wahine	woman
wai	water
waihoʻoluʻu	color
waiwai	rich
wānana	to foretell, predict
wāwae	leg, foot
wehe	to open, remove, take off
wela	hot
wikiwiki	quick, fast
wīwī	thin
